country,month_year,value
Albania,01/02/2022,0.0
Algeria,01/02/2022,978.0
Angola,01/02/2022,1158.0
Argentina,01/02/2022,0.0
Armenia,01/02/2022,0.0
Australia,01/02/2022,284.9864
Austria,01/02/2022,10.313
Azerbaijan,01/02/2022,566.9636
Bahrain,01/02/2022,190.8304
Bangladesh,01/02/2022,0.0
Barbados,01/02/2022,0.0
Belarus,01/02/2022,0.0
Belgium,01/02/2022,0.0
Belize,01/02/2022,0.0
Bermuda,01/02/2022,0.0
Bolivia,01/02/2022,0.0
Brazil,01/02/2022,2920.8571
Brunei Darussalam,01/02/2022,95.025
Bulgaria,01/02/2022,0.0
Canada,01/02/2022,3824.3757
Chile,01/02/2022,1.7475
China,01/02/2022,4391.4771
Chinese Taipei,01/02/2022,0.0
Colombia,01/02/2022,0.0
Costa Rica,01/02/2022,0.0
Croatia,01/02/2022,11.127
Cuba,01/02/2022,0.0
Cyprus,01/02/2022,0.0
Czech Republic,01/02/2022,1.5707
Denmark,01/02/2022,68.9786
Dominican Republic,01/02/2022,0.0
Ecuador,01/02/2022,0.0
Egypt (Arab Rep.),01/02/2022,554.6121
El Salvador,01/02/2022,0.0
Equatorial Guinea,01/02/2022,95.0
Estonia,01/02/2022,0.0
Eswatini,01/02/2022,0.0
Finland,01/02/2022,0.0
France,01/02/2022,12.5657
Gabon,01/02/2022,195.0
Gambia,01/02/2022,0.0
Georgia,01/02/2022,0.0
Germany,01/02/2022,33.4286
Greece,01/02/2022,0.0
Grenada,01/02/2022,0.0
Guatemala,01/02/2022,0.0
Guyana,01/02/2022,0.0
Haiti,01/02/2022,0.0
Honduras,01/02/2022,0.0
Hong Kong China,01/02/2022,0.0
Hungary,01/02/2022,17.2779
Iceland,01/02/2022,0.0
India,01/02/2022,603.7029
Indonesia,01/02/2022,626.1429
Iran (Islamic Rep.),01/02/2022,0.0
Iraq,01/02/2022,4260.0
Ireland,01/02/2022,0.0
Italy,01/02/2022,92.9368
Jamaica,01/02/2022,0.0
Japan,01/02/2022,3.685
Kazakhstan,01/02/2022,1619.2943
Korea,01/02/2022,0.0
Kuwait,01/02/2022,2612.0
Latvia,01/02/2022,0.0
Libya,01/02/2022,0.0
Lithuania,01/02/2022,0.5214
Luxembourg,01/02/2022,0.0
North Macedonia,01/02/2022,0.0
Malaysia,01/02/2022,542.2429
Malta,01/02/2022,0.0
Mauritius,01/02/2022,0.0
Mexico,01/02/2022,1752.0471
Moldova,01/02/2022,0.0
Morocco,01/02/2022,0.0
Myanmar,01/02/2022,0.0
Nepal,01/02/2022,0.0
Netherlands,01/02/2022,4.8111
New Zealand,01/02/2022,15.9696
Nicaragua,01/02/2022,0.0
Niger,01/02/2022,0.0
Nigeria,01/02/2022,1258.0
Norway,01/02/2022,1810.975
Oman,01/02/2022,0.0
Panama,01/02/2022,0.0
Papua New Guinea,01/02/2022,0.0
Paraguay,01/02/2022,0.0
Peru,01/02/2022,49.25
Philippines,01/02/2022,9.3571
Poland,01/02/2022,18.0632
Portugal,01/02/2022,0.0
Qatar,01/02/2022,0.0
Romania,01/02/2022,62.9884
Russian Federation,01/02/2022,10231.485
Saudi Arabia,01/02/2022,10225.0
Singapore,01/02/2022,0.0
Slovakia,01/02/2022,0.0
Slovenia,01/02/2022,0.0
South Africa,01/02/2022,0.0
Spain,01/02/2022,0.0
Sudan,01/02/2022,0.0
Suriname,01/02/2022,0.0
Sweden,01/02/2022,0.0
Switzerland,01/02/2022,0.0
Syria (Arab Rep.),01/02/2022,0.0
Tajikistan,01/02/2022,0.5264
Thailand,01/02/2022,148.2683
Trinidad/Tobago,01/02/2022,0.0
Tunisia,01/02/2022,37.0768
Turkey,01/02/2022,63.5211
Ukraine,01/02/2022,0.0
United Arab Emirates,01/02/2022,0.0
United Kingdom,01/02/2022,831.33
United States of America,01/02/2022,11316.1071
Uruguay,01/02/2022,0.0
Venezuela,01/02/2022,788.0
Vietnam,01/02/2022,183.975
Yemen,01/02/2022,0.0
Albania,01/03/2022,0.0
Algeria,01/03/2022,996.0
Angola,01/03/2022,1133.0
Argentina,01/03/2022,0.0
Armenia,01/03/2022,0.0
Australia,01/03/2022,286.6579
Austria,01/03/2022,9.9965
Azerbaijan,01/03/2022,580.0903
Bahrain,01/03/2022,194.4729
